truth_table,count,networks_bits
"(-1,-1,-1,1)",1,"000000"
"(-1,1,-1,1)",2,"000001 000100"
"(-1,-1,1,1)",2,"000010 001000"
"(1,-1,-1,1)",2,"000011 001100"
"(-1,1,-1,-1)",1,"000101"
"(-1,1,1,-1)",2,"000110 001001"
"(1,1,-1,-1)",2,"000111 001101"
"(-1,-1,1,-1)",1,"001010"
"(1,-1,1,-1)",2,"001011 001110"
"(1,-1,-1,-1)",1,"001111"
"(1,1,1,1)",20,"010000 010101 011010 011111 100000 100101 101010 101111 110001 110010 110011 110100 110110 110111 111000 111001 111011 111100 111101 111110"
"(1,-1,1,1)",7,"010001 011001 011101 100100 100110 100111 110101"
"(1,1,-1,1)",7,"010010 010110 011110 101000 101001 101011 111010"
"(-1,1,1,1)",7,"010011 010111 011011 101100 101101 101110 111111"
"(1,1,1,-1)",7,"010100 011000 011100 100001 100010 100011 110000"
