n_input,canonical,cont_neurons,bin_neurons
4,126,2,2
4,111,2,2
4,1633,2,2
4,1635,2,2
4,1638,2,2
4,1647,2,2
4,1639,2,2
4,107,2,2
4,1651,2,2
4,1632,2,2
4,1654,2,2
4,1020,2,2
4,1656,2,2
4,1662,2,2
4,1634,2,2
4,1658,2,2
4,1681,3,3
4,1680,3,3
4,1657,3,3
4,1683,3,3
4,1659,3,3
4,1650,3,3
4,1712,3,3
4,1643,3,3
4,1713,3,3
4,1721,3,3
4,1776,2,2
4,1719,3,3
4,1777,2,2
4,1641,3,3
4,1716,3,3
4,1912,2,2
4,1717,3,3
4,1714,3,3
4,1785,3,3
4,1782,3,3
4,1914,2,2
4,1969,2,2
4,1968,2,2
4,1918,2,2
4,1715,3,3
4,2016,2,2
4,2017,2,2
4,1910,3,3
4,2019,2,2
4,2025,2,2
4,2032,2,2
4,2033,2,2
4,2040,2,2
4,2034,2,2
4,22,2,2
4,25,2,2
4,27,2,2
4,1725,3,3
4,1913,3,3
4,24,2,2
4,281,2,2
4,2022,3,3
4,282,2,2
4,283,2,2
4,1778,3,3
4,30,2,2
4,1974,3,3
4,303,2,2
4,1980,3,3
4,317,2,2
4,301,2,2
4,27030,4,4
4,316,2,2
4,286,2,2
4,367,2,2
4,385,2,2
4,384,2,2
4,390,2,2
4,387,2,2
4,393,2,2
4,407,2,2
4,395,2,2
4,399,2,2
4,386,2,2
4,4080,2,2
4,409,2,2
4,410,2,2
4,363,3,3
4,411,2,2
4,366,2,2
4,424,2,2
4,415,2,2
4,427,2,2
4,425,2,2
4,426,2,2
4,414,3,3
4,445,2,2
4,431,2,2
4,429,2,2
4,447,2,2
4,488,2,2
4,489,2,2
4,490,2,2
4,428,3,3
4,491,2,2
4,495,2,2
4,5736,2,2
4,5738,2,2
4,430,2,2
4,5758,2,2
4,446,3,3
4,5737,3,3
4,5742,2,2
4,406,3,3
4,444,2,2
4,5763,3,3
4,5739,3,3
4,5761,3,3
4,5784,3,3
4,5774,3,3
4,5767,3,3
4,5769,3,3
4,5783,3,3
4,5771,3,3
4,5786,3,3
4,6,2,2
4,6014,2,2
4,60,2,2
4,5785,3,3
4,5804,3,3
4,5787,3,3
4,61,2,2
4,5801,3,3
4,5805,3,3
4,6038,3,3
4,6120,2,2
4,5820,3,3
4,5865,3,3
4,6040,3,3
4,828,2,2
4,6375,3,3
4,6627,3,3
4,6630,3,3
4,6042,3,3
4,855,2,2
4,6030,2,2
4,7128,3,3
4,7905,3,3
4,859,2,2
4,6625,3,3
4,863,2,2
4,872,2,2
4,6060,3,3
4,858,2,2
4,876,2,2
4,856,3,3
4,879,2,2
4,878,2,2
4,892,2,2
4,862,3,3
4,7140,3,3
4,963,2,2
4,960,2,2
4,961,2,2
4,966,2,2
4,967,2,2
4,965,2,2
4,975,2,2
4,980,2,2
4,982,2,2
4,981,2,2
4,983,2,2
4,875,3,3
4,987,2,2
4,988,2,2
4,989,2,2
4,990,2,2
4,873,3,3
4,857,3,3
4,984,3,3
4,877,3,3
4,985,3,3
